in_errors,in_packets,in_bytes,in_dropped,out_errors,out_packets,out_bytes,out_dropped,name,utctimestamp,hostname
0,1478368,71426533,15,0,212372,253494454,0,eth0,2022-05-05T06:44:24.543608+00:00,VM1
0,1478557,71437665,15,0,212512,253556719,0,eth0,2022-05-05T06:47:39.523364+00:00,VM1
0,1478572,71438560,15,0,212524,253562194,0,eth0,2022-05-05T06:47:54.568099+00:00,VM1
0,1478411,71429062,15,0,212403,253508272,0,eth0,2022-05-05T06:45:09.539255+00:00,VM1
0,1478427,71430003,15,0,212416,253513787,0,eth0,2022-05-05T06:45:24.526437+00:00,VM1
0,1478440,71430771,15,0,212425,253517948,0,eth0,2022-05-05T06:45:39.537431+00:00,VM1
0,1478455,71431666,15,0,212437,253523450,0,eth0,2022-05-05T06:45:54.533867+00:00,VM1
0,1478497,71434143,15,0,212468,253537274,0,eth0,2022-05-05T06:46:39.529000+00:00,VM1
0,1478514,71435136,15,0,212481,253542879,0,eth0,2022-05-05T06:46:54.512940+00:00,VM1
0,1478527,71435904,15,0,212490,253547011,0,eth0,2022-05-05T06:47:09.525156+00:00,VM1
0,1478544,71436897,15,0,212503,253552578,0,eth0,2022-05-05T06:47:24.521721+00:00,VM1
0,1478469,71432480,15,0,212447,253527636,0,eth0,2022-05-05T06:46:09.530770+00:00,VM1
0,1478484,71433375,15,0,212459,253533118,0,eth0,2022-05-05T06:46:24.549017+00:00,VM1
0,1480455,71549846,15,0,213939,254186324,0,eth0,2022-05-05T07:20:09.486618+00:00,VM1
0,1480472,71550839,15,0,213952,254191857,0,eth0,2022-05-05T07:20:24.472910+00:00,VM1
0,1480396,71546376,15,0,213895,254166956,0,eth0,2022-05-05T07:19:09.466689+00:00,VM1
0,1480412,71547317,15,0,213908,254172488,0,eth0,2022-05-05T07:19:24.506114+00:00,VM1
0,1480544,71555077,15,0,214005,254215354,0,eth0,2022-05-05T07:21:39.471433+00:00,VM1
0,1480559,71555972,15,0,214017,254220814,0,eth0,2022-05-05T07:21:54.474488+00:00,VM1
0,1480425,71548085,15,0,213917,254176638,0,eth0,2022-05-05T07:19:39.474086+00:00,VM1
0,1480442,71549078,15,0,213930,254182162,0,eth0,2022-05-05T07:19:54.473358+00:00,VM1
0,1480573,71556786,15,0,214027,254225000,0,eth0,2022-05-05T07:22:09.494364+00:00,VM1
0,1480588,71557681,15,0,214039,254230506,0,eth0,2022-05-05T07:22:24.476086+00:00,VM1
0,1480485,71551607,15,0,213961,254195980,0,eth0,2022-05-05T07:20:39.519819+00:00,VM1
0,1480502,71552600,15,0,213974,254201544,0,eth0,2022-05-05T07:20:54.489757+00:00,VM1
0,1480631,71560210,15,0,214070,254244344,0,eth0,2022-05-05T07:23:09.472664+00:00,VM1
0,1480646,71561105,15,0,214082,254249822,0,eth0,2022-05-05T07:23:24.503386+00:00,VM1
0,1480601,71558449,15,0,214048,254234653,0,eth0,2022-05-05T07:22:39.479569+00:00,VM1
0,1480617,71559396,15,0,214060,254240162,0,eth0,2022-05-05T07:22:54.469872+00:00,VM1
0,1480515,71553368,15,0,213983,254205715,0,eth0,2022-05-05T07:21:09.461202+00:00,VM1
0,1480531,71554309,15,0,213996,254211239,0,eth0,2022-05-05T07:21:24.471509+00:00,VM1
0,1482321,71660204,15,0,215336,254806310,0,eth0,2022-05-05T07:52:09.426477+00:00,VM1
0,1482337,71661145,15,0,215349,254811852,0,eth0,2022-05-05T07:52:24.441504+00:00,VM1
0,1482235,71655123,15,0,215271,254777289,0,eth0,2022-05-05T07:50:39.415968+00:00,VM1
0,1482250,71656018,15,0,215283,254782777,0,eth0,2022-05-05T07:50:54.452478+00:00,VM1
0,1482264,71656832,15,0,215293,254786982,0,eth0,2022-05-05T07:51:09.438091+00:00,VM1
0,1482279,71657727,15,0,215305,254792480,0,eth0,2022-05-05T07:51:24.430659+00:00,VM1
0,1482292,71658495,15,0,215314,254796630,0,eth0,2022-05-05T07:51:39.427062+00:00,VM1
0,1482308,71659436,15,0,215327,254802160,0,eth0,2022-05-05T07:51:54.438163+00:00,VM1
0,1482205,71653362,15,0,215249,254767548,0,eth0,2022-05-05T07:50:09.429405+00:00,VM1
0,1482222,71654355,15,0,215262,254773126,0,eth0,2022-05-05T07:50:24.429154+00:00,VM1
0,1482408,71665331,15,0,215402,254835360,0,eth0,2022-05-05T07:53:39.480457+00:00,VM1
0,1482423,71666226,15,0,215414,254840844,0,eth0,2022-05-05T07:53:54.433807+00:00,VM1
